Country,Total_cases,New_cases,Total_deaths,New_Deaths,Total_recovered,New_recovered,Active_cases,Serious_critical,Cases/1Mpop,Deaths/1Mpop,Total_tests,Tests/1Mpop,Population,Area,Log_cases,Log_deaths,Label
USA,105285347,,1145661,,102682399.0,,1457287.0,2533.0,314467.0,3422.0,1166932082.0,3485405.0,334805269.0,North America,18.472184812625457,13.95149232097764,2
India,44686611,,530772,,44153504.0,,2335.0,,31769.0,377.0,918679922.0,653106.0,1406631776.0,Asia,17.615184484514323,13.182087829483645,2
France,39622231,,164963,,39387145.0,,70123.0,869.0,604140.0,2515.0,271490188.0,4139547.0,65584518.0,Europe,17.494900907593806,12.013476485312383,2
Germany,38168908,,168086,,37715700.0,16500.0,285122.0,,455022.0,2004.0,122332384.0,1458359.0,83883596.0,Europe,17.45753181545705,12.032231032168756,2
Brazil,37052936,,699087,,36235329.0,,118520.0,,172056.0,3246.0,63776166.0,296146.0,215353593.0,South America,17.427858150831216,13.45753047699032,2
Japan,33219038,13950.0,72486,99.0,21685717.0,762.0,11460835.0,160.0,264515.0,577.0,95253685.0,758481.0,125584838.0,Asia,17.31863370327136,11.19114871874762,2
S. Korea,30526012,12291.0,33988,11.0,30304171.0,12649.0,187853.0,145.0,594702.0,662.0,15804065.0,307892.0,51329899.0,Asia,17.23408973056464,10.433762800123432,2
Italy,25576852,,188094,,25219653.0,,169105.0,133.0,424422.0,3121.0,267663187.0,4441601.0,60262770.0,Europe,17.057198281647416,12.144697116853738,2
UK,24341615,,206246,,24091325.0,3456.0,44044.0,,355363.0,3011.0,522526476.0,7628357.0,68497907.0,Europe,17.00769799500695,12.236824910069469,2
Russia,22285908,13438.0,396137,37.0,21631409.0,16557.0,258362.0,,152846.0,2717.0,273400000.0,1875095.0,145805947.0,Europe,16.919465108428412,12.889515390002355,2
Turkey,17042722,,101492,,,,,,199186.0,1186.0,162743369.0,1902052.0,85561976.0,Asia,16.65123380839212,11.527735256623709,2
Spain,13763336,,119380,,13607068.0,,36888.0,231.0,294597.0,2555.0,471036328.0,10082298.0,46719142.0,Europe,16.437518802945657,11.690066961722641,2
Vietnam,11526926,9.0,43186,,10614777.0,8.0,868963.0,2.0,116488.0,436.0,85826548.0,867342.0,98953541.0,Asia,16.2601962478523,10.673271647634778,2
Australia,11366361,,19373,,11314814.0,,32174.0,36.0,436014.0,743.0,78835048.0,3024116.0,26068792.0,Australia/Oceania,16.246168761728452,9.871635623086945,2
Taiwan,10055439,12212.0,17975,27.0,9736050.0,20872.0,301414.0,,420931.0,752.0,30742304.0,1286903.0,23888595.0,Asia,16.123624240106537,9.796737182589247,2
Argentina,10044125,,130463,,9909866.0,,3796.0,363.0,218302.0,2836.0,35716069.0,776264.0,46010234.0,South America,16.122498444423112,11.778844940639885,2
Netherlands,8596296,,22992,,8558816.0,,14488.0,53.0,499452.0,1336.0,25984435.0,1509718.0,17211447.0,Europe,15.966841970772434,10.042901608318806,2
Iran,7568903,997.0,144858,13.0,7339457.0,92.0,84588.0,301.0,87987.0,1684.0,55034937.0,639771.0,86022837.0,Asia,15.839558700777822,11.88350923122021,2
Mexico,7451429,,332988,,6690914.0,,427527.0,,56638.0,2531.0,19572325.0,148768.0,131562772.0,North America,15.823916384042693,12.715861732277231,2
Indonesia,6736298,252.0,160916,2.0,6571845.0,153.0,3537.0,,24133.0,576.0,114158919.0,408975.0,279134505.0,Asia,15.723021073830733,11.988637768682946,2
Poland,6422467,2992.0,118898,14.0,5335940.0,,967629.0,696.0,170178.0,3150.0,38279634.0,1014305.0,37739785.0,Europe,15.67531286976691,11.686021261679537,2
Colombia,6359464,,142615,,6182304.0,,34545.0,342.0,123454.0,2769.0,36951507.0,717327.0,51512762.0,South America,15.665454655035262,11.867903970771135,2
Austria,5919616,7845.0,21891,,5840825.0,3925.0,56900.0,86.0,652896.0,2414.0,211273524.0,23302116.0,9066710.0,Europe,15.593782139891507,9.99383087243373,2
Greece,5849949,,36077,,5804980.0,1599.0,8892.0,115.0,567040.0,3497.0,102228365.0,9909078.0,10316637.0,Europe,15.58194350122132,10.493410822160769,2
Portugal,5566708,,26117,,5537790.0,,2801.0,61.0,548954.0,2575.0,45980330.0,4534294.0,10140570.0,Europe,15.532314413841009,10.17034172227647,2
Ukraine,5382095,,111175,,5265637.0,3708.0,5283.0,,124608.0,2574.0,32603805.0,754855.0,43192122.0,Europe,15.4985882615439,11.618860815378897,2
Chile,5166328,,64176,,5097447.0,,4705.0,85.0,268378.0,3334.0,48438160.0,2516243.0,19250195.0,South America,15.45767274268588,11.069384588009834,2
Malaysia,5042791,,36958,,4996585.0,,9248.0,7.0,151978.0,1114.0,68088226.0,2052020.0,33181072.0,Asia,15.433470256614886,10.51753741173737,2
Israel,4799283,,12290,,4781252.0,,5741.0,57.0,514613.0,1318.0,41373364.0,4436346.0,9326000.0,Asia,15.383977089720563,9.416541202560081,2
DPRK,4772813,,74,,4772739.0,,0.0,,183636.0,3.0,,,25990679.0,Asia,15.37844641650693,4.30406509320417,1
Thailand,4728035,,33911,,4692636.0,,1488.0,,67468.0,484.0,17270775.0,246450.0,70078203.0,Asia,15.369020240747947,10.431494724510879,2
Belgium,4717655,,33717,,4659455.0,558.0,24483.0,43.0,404315.0,2890.0,36709556.0,3146099.0,11668278.0,Europe,15.366822412070881,10.425757440186377,2
Czechia,4611001,1166.0,42436,,4558089.0,,10476.0,38.0,429458.0,3952.0,56998352.0,5308699.0,10736784.0,Europe,15.343955528061516,10.655752337579163,2
Canada,4591149,,51249,,4500536.0,1341.0,39364.0,99.0,119597.0,1335.0,66343123.0,1728207.0,38388419.0,North America,15.33964087750759,10.844451384615168,2
Peru,4486034,281.0,219439,8.0,4264598.0,264.0,1997.0,38.0,133179.0,6515.0,38041008.0,1129343.0,33684208.0,South America,15.316479573168657,12.29882956854678,2
Switzerland,4389655,,14452,,4371249.0,,3954.0,39.0,500323.0,1647.0,23833472.0,2716487.0,8773637.0,Europe,15.294761194263863,9.57858809226753,2
Philippines,4076418,121.0,66118,7.0,4001070.0,99.0,9230.0,162.0,36232.0,588.0,34603075.0,307558.0,112508994.0,Asia,15.220729219587804,11.099196303443602,2
South Africa,4063573,,102595,,3912506.0,,48472.0,192.0,66883.0,1689.0,26795090.0,441027.0,60756135.0,Africa,15.217573193822695,11.538544477587848,2
Romania,3340342,,67704,,3263301.0,3200.0,9337.0,115.0,175518.0,3558.0,26676248.0,1401701.0,19031335.0,Europe,15.021583754920432,11.122900541349942,2
Denmark,3175264,69.0,8269,4.0,3166080.0,68.0,915.0,19.0,544180.0,1417.0,129197382.0,22141986.0,5834950.0,Europe,14.97090133645849,9.020268861722167,2
Hong Kong,2883453,107.0,13460,3.0,2848855.0,1981.0,21138.0,28.0,379187.0,1770.0,76127725.0,10011143.0,7604299.0,Asia,14.874499092268906,9.50747760319872,2
Sweden,2697827,,23633,,2670647.0,70.0,3547.0,9.0,264002.0,2313.0,19469139.0,1905196.0,10218971.0,Europe,14.807957192122428,10.070399319380286,2
Serbia,2492563,,17826,,2460904.0,,13833.0,16.0,288057.0,2060.0,12396861.0,1432664.0,8653016.0,Europe,14.728822056326184,9.788413344690662,2
Iraq,2465545,,25375,,2439497.0,,673.0,21.0,58474.0,602.0,19544451.0,463523.0,42164965.0,Asia,14.717923436355642,10.141519716344089,2
Singapore,2222006,,1722,,2149583.0,,70701.0,1.0,373852.0,290.0,24756666.0,4165302.0,5943546.0,Asia,14.613920949448094,7.451241684987676,1
New Zealand,2216852,,3904,,2205354.0,,7594.0,,452585.0,797.0,7768604.0,1586011.0,4898203.0,Australia/Oceania,14.611598729491444,8.269756947532983,2
Hungary,2195926,957.0,48751,6.0,2143184.0,502.0,3991.0,13.0,228593.0,5075.0,11394556.0,1186160.0,9606259.0,Europe,14.602114383411722,10.79448098903612,2
Bangladesh,2037829,11.0,29445,,1998448.0,,9936.0,,12138.0,175.0,15254399.0,90862.0,167885689.0,Asia,14.52739558345453,10.290279395378672,2
Slovakia,1863022,133.0,21024,3.0,1840809.0,122.0,1189.0,20.0,341201.0,3850.0,7403776.0,1355955.0,5460193.0,Europe,14.43771045842436,9.953419921284338,2
Georgia,1825598,,16965,,1776548.0,,32085.0,,459995.0,4275.0,16920079.0,4263340.0,3968738.0,Asia,14.41741816255911,9.73890767721833,2
Jordan,1746997,,14122,,1731007.0,,1868.0,59.0,169597.0,1371.0,17201885.0,1669945.0,10300869.0,Asia,14.373408871885182,9.555489144076292,2
Ireland,1702523,,8629,,1692188.0,9.0,1706.0,11.0,339135.0,1719.0,13024205.0,2594360.0,5020199.0,Europe,14.347621826459338,9.062883902508307,2
Pakistan,1576999,37.0,30643,,1538689.0,,7667.0,13.0,6872.0,134.0,30570862.0,133213.0,229488994.0,Asia,14.271034231829566,10.33015953028869,2
Norway,1479032,,5112,,1473216.0,,704.0,20.0,268360.0,928.0,11002430.0,1996315.0,5511370.0,Europe,14.20689837769958,8.53934599605737,2
Finland,1462169,,8892,,1451864.0,86.0,1413.0,21.0,263219.0,1601.0,12047792.0,2168835.0,5554960.0,Europe,14.195431507686504,9.092907275084087,2
Kazakhstan,1407823,,13846,,1383020.0,,10957.0,24.0,73305.0,721.0,11575012.0,602707.0,19205043.0,Asia,14.15755509757066,9.53575166123797,2
Slovenia,1328673,435.0,7071,,1317563.0,298.0,4039.0,6.0,639389.0,3403.0,2837735.0,1365586.0,2078034.0,Europe,14.0996912577588,8.863757191604241,2
Lithuania,1305163,376.0,9589,,1289728.0,389.0,5846.0,6.0,490348.0,3603.0,10379366.0,3899513.0,2661708.0,Europe,14.081838495153608,9.16837188715368,2
Bulgaria,1296853,,38217,,1255662.0,,2974.0,27.0,189471.0,5584.0,11055587.0,1615228.0,6844597.0,Europe,14.07545111840189,10.551035721777897,2
Morocco,1272454,,16296,,1256091.0,,67.0,3.0,33687.0,431.0,12983320.0,343722.0,37772756.0,Africa,14.056457877441035,9.698674957906642,2
Croatia,1268992,,17971,,1250549.0,,472.0,10.0,312615.0,4427.0,5503682.0,1355825.0,4059286.0,Europe,14.053733442500137,9.796514626532023,2
Guatemala,1236406,,20173,,1215077.0,,1156.0,5.0,66531.0,1086.0,6925325.0,372649.0,18584039.0,North America,14.02771934202677,9.912100355634351,2
